id,column_1,column_2,column_3
1,14.49,21.72,B
2,3.14,-9.99,B
3,9.2,0.38,B
4,5.52,7.66,A
5,4.43,0.39,A
6,22.22,11.49,B
7,7.62,7.06,C
8,10.76,8.02,C
9,4.33,23.7,B
10,-5.53,17.83,B
11,10.91,-0.4,A
12,3.05,8.14,A
13,6.17,10.17,C
14,36.75,16.21,B
15,2.73,24.92,C
16,4.33,26.35,B
17,0.78,-14.14,B
18,12.01,1.37,B
19,-9.8,20.2,A
20,-3.33,12.26,B
21,5.42,11.16,A
22,22.19,25.58,C
23,21.76,11.12,C
24,1.6,8.8,B
25,28.24,-15.46,B
26,17.26,14.94,C
27,4.05,6.61,A
28,16.3,14.86,B
29,-5.21,1.11,A
30,0.7,25.61,B
31,16.04,-5.79,B
32,4.86,-3.62,A
33,-8.73,-2.71,C
34,-2.78,-9.88,A
35,7.32,15.83,B
36,4.84,-1.94,A
37,8.07,3.73,C
38,19.1,13.44,B
39,16.49,3.8,C
40,5.79,8.19,C
41,-10.91,0.99,C
42,-0.2,26.17,C
43,12.4,10.74,C
44,15.79,10.07,B
45,15.54,10.4,B
46,23.53,5.1,C
47,9.07,-9.14,B
48,-31.9,16.35,B
49,1.08,4.84,B
50,-5.75,14.74,A
51,5.31,23.27,C
52,16.34,32.06,A
53,8.66,-8.75,B
54,9.73,-10.57,A
55,14.04,6.96,A
56,16.38,12.26,A
57,8.37,25.62,B
58,2.58,13.87,B
59,-0.43,15.02,C
60,10.14,14.46,C
61,12.87,34.76,A
62,2.07,-1.8,A
63,10.01,4.48,C
64,1.4,9.72,C
65,17.99,25.32,A
66,-7.51,18.02,B
67,4.41,15.04,B
68,-8.34,-0.85,B
69,20.8,2.92,C
70,3.06,25.33,C
71,15.44,21.9,C
72,10.44,-2.15,A
73,-2.75,17.34,B
74,8.62,15.72,B
75,7.22,1.07,A
76,15.42,7.43,B
77,0.8,-0.33,B
78,12.03,11.53,A
79,9.43,9.18,C
80,3.8,17.84,A
81,12.8,26.57,B
82,9.91,26.16,C
83,14.31,15.69,A
84,7.53,19.02,A
85,1.55,14.75,C
86,2.64,23.35,B
87,-5.49,18.41,B
88,19.38,12.45,C
89,11.49,-2.09,C
90,4.7,16.17,B
91,-5.32,0.24,B
92,8.68,6.82,B
93,1.82,2.26,C
94,15.1,2.17,C
95,4.09,4.06,A
96,8.47,0.29,B
97,3.32,26.9,B
98,14.21,11.53,B
99,29.34,11.45,C
100,14.13,21.57,B
101,4.33,-8.16,C
102,9.88,-4.52,B
103,-5.89,22.28,B
104,9.65,25.35,B
105,26.67,6.03,A
106,5.52,-1.26,A
107,0.4,-3.26,C
108,15.92,31.79,A
109,37.9,10.49,A
110,-4.55,2.96,B
111,20.78,3.4,C
112,-0.2,16.75,C
113,33.19,8.46,C
114,6.73,8.74,C
115,-1.65,11.34,B
116,-6.79,21.47,B
117,0.83,18.45,B
118,14.75,22.81,A
119,12.48,-4.37,B
120,9.67,28.41,B
121,35.34,8.44,B
122,7.2,15.45,C
123,-1.67,9.88,B
124,10.65,14.88,B
125,-11.41,-6.72,C
126,2.91,14.81,A
127,-13.63,7.04,A
128,-3.89,0.08,C
129,1.25,13.2,A
130,17.52,24.61,C
131,35.12,6.19,A
132,-4.29,0.12,A
133,12.76,24.39,B
134,9.0,-5.73,B
135,3.85,21.14,B
136,8.85,25.24,B
137,7.36,14.48,C
138,8.5,-0.34,C
139,13.62,7.34,C
140,8.34,5.92,B
141,16.69,7.55,A
142,-0.38,-4.71,B
143,9.99,-13.58,C
144,10.28,-7.0,B
145,12.17,22.46,A
146,-5.11,20.16,A
147,1.47,12.27,A
148,24.58,-1.64,C
149,22.89,16.73,C
150,32.52,-4.18,C
151,6.15,16.58,A
152,-2.61,6.37,B
153,-0.27,5.08,C
154,31.31,15.92,C
155,11.02,30.19,B
156,2.75,11.58,B
157,3.69,2.98,C
158,19.06,21.0,B
159,10.13,8.29,B
160,14.57,-4.15,B
161,4.94,-16.63,A
162,19.7,0.19,A
163,-5.24,7.01,A
164,25.85,4.72,A
165,-2.6,6.07,A
166,-15.8,5.92,B
167,36.36,15.52,C
168,-2.26,22.37,A
169,3.63,21.11,B
170,6.65,2.53,B
171,0.5,17.45,A
172,-5.2,5.17,C
173,-8.18,20.73,C
174,-3.86,8.55,C
175,6.52,-0.3,B
176,19.8,16.63,A
177,9.88,-9.8,B
178,8.48,18.46,B
179,4.93,-0.11,B
180,3.84,4.03,C
181,18.76,20.67,B
182,11.92,-4.45,C
183,1.96,6.26,A
184,-6.39,1.3,C
185,-9.24,-1.88,A
186,32.95,6.03,B
187,17.5,28.24,B
188,19.92,2.05,B
189,18.78,9.19,A
190,-10.15,20.78,B
191,5.39,8.13,A
192,5.72,26.58,A
193,14.55,13.22,B
194,16.67,9.43,A
195,8.34,4.16,B
196,12.22,31.37,B
197,3.83,12.71,B
198,9.92,9.25,A
199,-4.17,13.67,C
200,1.94,1.33,B
201,20.57,-4.44,C
202,0.7,25.41,B
203,12.22,-12.97,C
204,-4.56,1.51,C
205,8.83,11.24,C
206,11.74,2.89,B
207,13.61,2.42,A
208,7.84,29.47,B
209,24.21,17.43,A
210,1.66,11.67,B
211,1.37,16.84,B
212,15.39,20.23,C
213,15.83,17.66,C
214,3.68,11.02,B
215,-11.48,-8.27,B
216,3.36,-4.32,A
217,23.22,15.47,B
218,15.24,24.89,A
219,0.28,10.7,C
220,-5.52,-10.89,A
221,14.64,19.81,C
222,17.25,4.36,B
223,7.22,13.73,C
224,2.67,3.31,A
225,14.36,10.38,A
226,20.1,2.05,A
227,10.34,5.96,C
228,11.0,-4.9,A
229,-6.18,-3.4,A
230,15.35,-9.07,C
231,11.83,1.04,A
232,25.74,3.34,C
233,8.31,9.18,B
234,8.97,11.5,B
235,8.74,-7.93,A
236,9.09,22.18,A
237,5.79,15.67,A
238,21.26,16.25,A
239,21.1,4.29,B
240,6.38,18.49,A
241,-9.74,-4.04,B
242,1.56,20.73,C
243,11.5,16.04,B
244,11.63,7.84,A
245,19.48,31.33,B
