id,column_1,column_2,column_3
1,A,cat_8,21
2,D,cat_6,54
3,C,cat_5,0
4,C,cat_6,15
5,D,cat_8,72
6,C,cat_6,70
7,B,cat_3,38
8,B,cat_2,84
9,A,cat_4,37
10,B,cat_2,0
11,D,cat_2,91
12,A,cat_6,24
13,D,cat_3,94
14,C,cat_7,21
15,B,cat_2,37
16,D,cat_7,15
17,C,cat_4,9
18,C,cat_4,14
19,D,cat_8,60
20,B,cat_8,25
21,A,cat_8,41
22,A,cat_2,23
23,C,cat_2,36
24,D,cat_8,97
25,D,cat_7,71
26,D,cat_3,2
27,A,cat_5,60
28,B,cat_1,70
29,B,cat_8,29
30,A,cat_1,58
31,D,cat_1,13
32,B,cat_7,44
33,D,cat_8,83
34,D,cat_6,7
35,A,cat_6,72
36,C,cat_3,17
37,D,cat_8,77
38,D,cat_5,24
39,A,cat_4,36
40,A,cat_5,38
41,D,cat_3,15
42,B,cat_1,24
43,D,cat_7,16
44,D,cat_3,12
45,D,cat_7,31
46,B,cat_2,28
47,C,cat_7,1
48,A,cat_4,57
49,A,cat_5,94
50,A,cat_3,82
51,A,cat_8,43
52,B,cat_7,88
53,D,cat_2,25
54,D,cat_7,82
55,D,cat_7,96
56,B,cat_4,65
57,C,cat_1,98
58,C,cat_6,53
59,B,cat_4,33
60,D,cat_6,80
61,A,cat_4,57
62,B,cat_8,25
63,A,cat_1,73
64,B,cat_4,73
65,C,cat_5,0
66,B,cat_1,60
67,D,cat_5,23
68,B,cat_3,62
69,B,cat_3,63
70,D,cat_8,19
71,C,cat_8,73
72,D,cat_7,23
73,D,cat_1,40
74,C,cat_2,83
75,A,cat_2,20
76,D,cat_2,57
77,A,cat_6,12
78,C,cat_7,16
79,D,cat_1,87
80,C,cat_4,93
81,B,cat_4,72
82,B,cat_1,29
83,D,cat_7,35
84,B,cat_3,39
85,A,cat_2,26
86,B,cat_2,67
87,B,cat_2,82
88,B,cat_4,95
89,A,cat_7,59
90,C,cat_4,70
91,D,cat_8,95
92,A,cat_7,82
93,B,cat_5,47
94,C,cat_1,80
95,C,cat_2,2
96,C,cat_3,60
97,C,cat_7,31
98,C,cat_3,12
99,D,cat_7,19
100,C,cat_7,25
101,B,cat_8,93
102,D,cat_8,42
103,B,cat_3,31
104,D,cat_4,66
105,C,cat_7,84
106,C,cat_2,35
107,B,cat_6,76
108,C,cat_2,73
109,A,cat_8,73
110,B,cat_4,97
111,A,cat_3,84
112,A,cat_4,37
113,D,cat_7,68
114,C,cat_2,86
115,B,cat_6,20
116,D,cat_7,86
117,B,cat_2,1
118,B,cat_7,1
119,C,cat_8,79
120,A,cat_4,67
121,C,cat_7,17
122,B,cat_1,77
123,C,cat_1,4
124,C,cat_3,58
125,D,cat_3,63
126,D,cat_4,40
127,D,cat_2,26
128,A,cat_8,98
129,D,cat_4,94
130,C,cat_6,7
131,B,cat_5,6
132,A,cat_4,0
133,C,cat_3,28
134,A,cat_2,27
135,A,cat_4,14
136,D,cat_8,5
137,B,cat_5,44
138,A,cat_1,45
139,A,cat_3,33
140,A,cat_5,87
141,A,cat_7,94
142,C,cat_4,10
143,B,cat_8,68
144,C,cat_2,73
145,D,cat_2,93
146,A,cat_3,19
147,D,cat_8,20
148,C,cat_4,88
149,C,cat_8,40
150,C,cat_7,74
151,D,cat_4,70
152,A,cat_6,74
153,C,cat_6,76
154,D,cat_1,20
155,A,cat_5,57
156,D,cat_4,1
157,D,cat_5,82
158,B,cat_8,4
159,B,cat_7,86
160,A,cat_2,70
161,D,cat_3,7
162,A,cat_1,44
163,B,cat_4,51
164,B,cat_1,81
165,A,cat_6,0
166,A,cat_6,43
167,C,cat_5,0
168,D,cat_6,13
169,C,cat_6,43
170,D,cat_6,3
171,D,cat_2,14
172,D,cat_8,52
173,C,cat_1,36
174,A,cat_5,53
175,C,cat_3,52
176,C,cat_1,20
177,D,cat_2,60
178,C,cat_7,14
179,A,cat_8,45
180,A,cat_4,5
181,A,cat_3,19
182,C,cat_8,35
183,D,cat_2,69
184,D,cat_1,51
185,B,cat_4,53
186,A,cat_4,29
187,B,cat_2,18
188,D,cat_1,55
189,B,cat_2,14
190,C,cat_8,0
191,B,cat_4,12
192,B,cat_2,17
193,D,cat_7,93
194,C,cat_1,42
195,D,cat_4,72
196,A,cat_7,52
197,C,cat_2,66
198,D,cat_4,48
199,C,cat_2,57
200,C,cat_5,52
201,C,cat_1,20
202,D,cat_4,81
203,A,cat_6,40
204,C,cat_6,95
205,C,cat_4,9
206,A,cat_3,57
207,D,cat_7,29
208,A,cat_4,30
209,C,cat_4,41
210,B,cat_1,42
211,A,cat_1,2
212,C,cat_7,54
213,B,cat_5,77
214,C,cat_7,60
215,C,cat_7,0
216,C,cat_8,85
217,D,cat_3,28
218,D,cat_5,84
219,B,cat_2,35
220,A,cat_4,7
221,A,cat_3,60
222,D,cat_3,18
223,B,cat_4,49
224,D,cat_2,36
225,A,cat_4,14
226,D,cat_5,24
227,D,cat_1,49
228,A,cat_8,52
229,C,cat_2,74
230,A,cat_2,3
231,B,cat_4,53
232,C,cat_7,1
233,A,cat_8,58
234,C,cat_3,49
235,C,cat_3,89
236,D,cat_6,83
237,A,cat_6,85
238,B,cat_5,39
239,C,cat_6,3
240,D,cat_3,38
241,C,cat_2,3
242,C,cat_7,63
243,B,cat_5,56
244,A,cat_5,77
245,A,cat_3,30
246,D,cat_7,47
247,A,cat_3,43
248,D,cat_7,61
249,B,cat_5,75
250,D,cat_2,2
251,D,cat_8,40
252,A,cat_1,68
253,D,cat_7,12
254,A,cat_2,94
255,A,cat_3,63
256,C,cat_4,8
257,D,cat_2,40
