id,column_1,column_2,column_3,column_4,column_5
1,B,category_9,22,A',2020-10-05
2,B,category_8,63,A',2022-05-09
3,B,category_5,79,B',2023-10-20
4,D,category_1,64,C',2021-11-23
5,A,category_1,98,A',2021-07-20
6,B,category_8,37,B',2022-11-18
7,B,category_7,15,C',2023-07-18
8,B,category_5,62,C',2020-03-22
9,A,category_2,41,B',2022-02-07
10,A,category_4,51,B',2023-06-26
11,A,category_3,19,B',2020-10-20
12,A,category_1,0,C',2022-09-12
13,C,category_7,51,A',2023-08-14
14,D,category_4,76,B',2020-07-23
15,C,category_2,86,A',2022-09-10
16,C,category_3,36,C',2020-10-13
17,D,category_1,55,A',2023-05-25
18,B,category_4,18,C',2023-12-04
19,D,category_2,80,C',2021-06-25
20,C,category_1,97,A',2022-08-05
21,A,category_3,80,C',2023-09-13
22,B,category_8,98,B',2020-07-15
23,B,category_9,76,B',2023-11-02
24,D,category_9,5,A',2023-02-01
25,B,category_6,70,C',2020-04-16
26,B,category_9,56,B',2021-08-15
27,B,category_4,29,B',2023-07-12
28,A,category_4,1,B',2021-09-23
29,B,category_9,49,A',2020-12-09
30,B,category_4,59,B',2021-06-02
31,A,category_4,15,A',2021-04-24
32,B,category_1,71,B',2020-07-17
33,B,category_3,26,A',2023-07-17
34,D,category_1,39,A',2022-05-13
35,C,category_2,47,B',2023-02-16
36,B,category_6,15,A',2020-03-22
37,B,category_9,63,B',2023-07-12
38,C,category_5,69,A',2023-09-07
39,C,category_4,66,B',2021-04-07
40,A,category_3,75,A',2021-03-26
41,B,category_3,35,C',2022-11-04
42,A,category_5,69,A',2020-01-11
43,A,category_3,89,C',2020-01-09
44,B,category_6,99,A',2022-06-21
45,C,category_8,48,A',2020-06-27
46,C,category_4,79,A',2020-09-27
47,A,category_8,14,A',2023-06-13
48,A,category_4,95,C',2021-08-17
49,D,category_5,66,B',2020-10-17
50,D,category_9,43,C',2020-06-19
51,C,category_8,65,C',2020-05-06
52,B,category_4,72,A',2022-06-14
53,A,category_7,15,C',2022-06-15
54,B,category_6,71,B',2023-08-24
55,A,category_1,68,A',2022-06-22
56,A,category_8,16,A',2021-10-08
57,C,category_1,32,B',2020-08-09
58,C,category_5,18,A',2022-07-15
59,A,category_2,99,C',2020-06-09
60,D,category_9,91,B',2021-07-13
61,D,category_3,62,A',2022-01-17
62,A,category_7,18,C',2022-12-09
63,B,category_4,68,B',2022-06-25
64,A,category_3,85,C',2020-08-21
65,D,category_4,46,A',2022-12-13
66,A,category_1,4,B',2023-11-22
67,D,category_8,26,B',2020-08-06
68,B,category_3,67,C',2020-09-25
69,D,category_2,25,B',2021-12-25
70,D,category_9,10,A',2023-08-24
71,D,category_2,61,B',2023-05-08
72,B,category_4,56,C',2021-01-04
73,B,category_9,38,B',2021-04-26
74,C,category_2,81,A',2023-12-24
75,B,category_5,92,C',2022-09-20
76,A,category_3,42,C',2020-05-03
77,B,category_6,61,C',2022-05-25
78,A,category_9,74,C',2021-07-18
79,C,category_2,20,A',2021-11-27
80,D,category_3,63,B',2021-05-03
81,B,category_2,9,C',2023-12-24
82,A,category_2,33,C',2021-04-05
83,D,category_4,49,A',2021-05-24
84,B,category_7,90,B',2020-10-04
