id,column_1,column_2
1,D,cat_1
2,C,cat_3
3,A,cat_8
4,A,cat_4
5,D,cat_6
6,C,cat_2
7,D,cat_7
8,C,cat_2
9,D,cat_6
10,A,cat_6
11,B,cat_8
12,B,cat_8
13,D,cat_1
14,D,cat_4
15,C,cat_6
16,A,cat_8
17,D,cat_7
18,B,cat_3
19,B,cat_2
20,D,cat_7
21,A,cat_4
22,A,cat_7
23,C,cat_1
24,B,cat_2
25,A,cat_1
26,D,cat_5
27,A,cat_4
28,D,cat_1
29,C,cat_4
30,B,cat_6
31,D,cat_8
32,B,cat_7
33,A,cat_8
34,B,cat_2
35,B,cat_6
36,D,cat_3
37,B,cat_5
38,D,cat_6
39,D,cat_5
40,D,cat_7
41,B,cat_6
42,A,cat_8
43,B,cat_6
44,A,cat_3
45,D,cat_4
46,A,cat_4
47,B,cat_5
48,B,cat_6
49,C,cat_6
50,B,cat_5
51,D,cat_3
52,D,cat_2
53,A,cat_3
54,A,cat_3
55,B,cat_8
56,A,cat_8
57,A,cat_8
58,A,cat_1
59,C,cat_8
60,C,cat_1
61,C,cat_5
62,D,cat_6
63,B,cat_3
64,B,cat_3
65,D,cat_8
66,C,cat_7
67,D,cat_3
68,D,cat_1
69,B,cat_7
70,C,cat_5
71,B,cat_8
72,D,cat_8
73,A,cat_3
74,C,cat_1
75,D,cat_2
76,A,cat_8
77,D,cat_5
78,D,cat_7
79,B,cat_5
80,A,cat_8
81,D,cat_6
82,A,cat_3
83,B,cat_7
84,C,cat_6
85,A,cat_8
86,B,cat_6
87,A,cat_2
88,B,cat_6
89,C,cat_7
90,D,cat_5
91,A,cat_2
92,D,cat_7
93,B,cat_7
94,D,cat_5
95,C,cat_7
96,C,cat_1
97,B,cat_3
98,B,cat_4
99,A,cat_8
100,A,cat_6
101,A,cat_2
102,C,cat_1
103,C,cat_5
104,D,cat_3
105,B,cat_1
106,C,cat_5
107,A,cat_1
108,A,cat_2
109,D,cat_3
110,D,cat_5
111,D,cat_4
112,A,cat_7
113,B,cat_8
114,D,cat_2
115,B,cat_6
116,D,cat_6
117,B,cat_3
118,C,cat_7
119,D,cat_6
120,A,cat_7
121,A,cat_3
122,C,cat_1
123,B,cat_4
124,C,cat_1
125,A,cat_3
126,A,cat_5
127,B,cat_8
128,C,cat_5
129,C,cat_5
130,A,cat_2
131,D,cat_7
132,B,cat_6
133,C,cat_1
134,D,cat_2
135,A,cat_4
136,A,cat_4
137,B,cat_6
138,B,cat_5
139,B,cat_1
140,A,cat_2
141,A,cat_2
142,C,cat_3
143,A,cat_3
144,A,cat_4
145,B,cat_5
146,D,cat_2
147,D,cat_3
148,C,cat_5
149,B,cat_4
150,C,cat_1
151,A,cat_4
152,D,cat_5
153,A,cat_4
154,B,cat_8
155,D,cat_1
156,C,cat_2
157,A,cat_2
158,A,cat_3
159,A,cat_6
160,A,cat_2
161,D,cat_5
162,B,cat_1
163,D,cat_4
164,A,cat_4
165,A,cat_8
166,D,cat_6
167,C,cat_1
168,D,cat_1
169,D,cat_5
170,D,cat_1
171,C,cat_2
172,B,cat_3
173,A,cat_5
174,A,cat_7
175,A,cat_3
176,B,cat_7
177,C,cat_4
178,B,cat_2
179,D,cat_8
180,D,cat_1
181,D,cat_6
182,A,cat_4
183,B,cat_4
184,D,cat_2
185,C,cat_5
186,B,cat_5
187,B,cat_5
188,B,cat_1
189,C,cat_7
190,B,cat_6
191,B,cat_5
192,A,cat_6
193,B,cat_8
194,D,cat_3
195,D,cat_3
196,C,cat_5
197,B,cat_4
198,C,cat_8
199,A,cat_3
200,C,cat_8
201,A,cat_8
202,C,cat_5
203,C,cat_6
204,B,cat_7
205,D,cat_4
206,A,cat_7
207,B,cat_8
208,C,cat_2
209,B,cat_8
210,A,cat_8
211,D,cat_4
212,C,cat_5
213,D,cat_8
214,C,cat_8
215,C,cat_3
216,B,cat_5
217,C,cat_5
218,C,cat_8
219,C,cat_4
220,C,cat_6
221,D,cat_3
222,D,cat_2
223,C,cat_5
224,B,cat_2
225,B,cat_5
226,A,cat_4
227,A,cat_3
228,D,cat_2
229,A,cat_8
230,D,cat_6
231,C,cat_1
232,C,cat_6
233,D,cat_5
234,D,cat_5
235,A,cat_4
236,B,cat_6
237,D,cat_3
238,B,cat_3
239,D,cat_1
240,A,cat_2
241,A,cat_3
242,B,cat_6
243,B,cat_5
244,D,cat_4
245,A,cat_8
246,A,cat_8
247,C,cat_4
248,D,cat_5
249,B,cat_6
250,B,cat_5
251,B,cat_7
252,A,cat_6
253,D,cat_3
254,C,cat_5
255,D,cat_1
256,B,cat_6
257,D,cat_5
258,A,cat_1
259,D,cat_5
260,C,cat_6
261,A,cat_7
262,B,cat_7
263,C,cat_6
264,C,cat_1
265,A,cat_3
266,A,cat_3
267,C,cat_2
268,C,cat_8
269,C,cat_5
270,A,cat_8
271,A,cat_7
272,A,cat_3
273,C,cat_4
274,D,cat_8
275,D,cat_5
276,D,cat_6
277,A,cat_1
278,C,cat_3
279,C,cat_3
280,C,cat_2
281,D,cat_1
282,A,cat_1
283,D,cat_5
284,D,cat_6
285,C,cat_2
286,B,cat_7
287,C,cat_2
288,A,cat_3
289,B,cat_4
290,C,cat_3
291,C,cat_6
292,B,cat_7
293,C,cat_8
294,B,cat_3
295,C,cat_3
296,C,cat_3
297,B,cat_7
298,D,cat_1
299,A,cat_4
300,D,cat_4
301,A,cat_6
302,A,cat_6
303,B,cat_4
304,D,cat_1
305,D,cat_5
306,B,cat_3
307,D,cat_8
308,D,cat_5
309,D,cat_8
310,B,cat_4
311,C,cat_2
312,C,cat_4
313,D,cat_4
314,D,cat_3
315,A,cat_8
316,D,cat_8
317,A,cat_1
318,C,cat_7
319,C,cat_7
320,B,cat_5
321,C,cat_6
322,D,cat_6
323,B,cat_7
324,D,cat_8
325,D,cat_7
326,A,cat_8
327,A,cat_3
328,C,cat_4
329,D,cat_2
330,D,cat_6
331,B,cat_8
332,D,cat_4
333,A,cat_8
334,C,cat_4
335,B,cat_8
336,D,cat_8
337,D,cat_7
338,A,cat_7
339,B,cat_2
340,D,cat_3
341,D,cat_5
342,B,cat_2
343,D,cat_8
344,D,cat_2
345,D,cat_8
346,B,cat_7
